metadata_tld,metadata_severity
icu,Critical
ml,Critical
py,Critical
tk,Critical
xn--2scrj9c,Critical
xn--5tzm5g,Critical
xn--6frz82g,Critical
xn--czrs0t,Critical
xn--fjq720a,Critical
xn--s9brj9c,Critical
xn--unup4y,Critical
xn--vhquv,Critical
xn--xhq521b,Critical
xyz,Critical
am,High
bd,High
best,High
bid,High
cd,High
cfd,High
cf,High
click,High
cyou,High
date,High
download,High
faith,High
ga,High
gq,High
help,High
info,High
ke,High
loan,High
men,High
porn,High
pw,High
quest,High
rest,High
review,High
sbs,High
sex,High
su,High
support,High
win,High
ws,High
xn--*,High
xxx,High
zip,HIgh
zw,High
asia,Low
autos,Low
bar,Low
bio,Low
blue,Low
buzz,Low
casa,Low
cc,Low
cfd,Low
charity,Low
club,Low
country,Low
dad,Low
degree,Low
earth,Low
email,Low
fit,Low
fund,Low
futbol,Low
fyi,Low
gdn,Low
gives,Low
gold,Low
guru,Low
haus,Low
homes,Low
id,Low
in,Low
ink,Low
jetzt,Low
kim,Low
lat,Low
life,Low
live,Low
lol,Low
ltd,Low
makeup,Low
mom,Low
monster,Low
mov,Low
ninja,Low
online,Low
pics,Low
plus,Low
pro,Low
pub,Low
racing,Low
realtor,Low
ren,Low
rip,High
rocks,Low
rodeo,Low
run,Low
shop,Low
skin,Low
space,Low
support,Low
tokyo,Low
uno,Low
vip,Low
wang,Low
wiki,Low
work,Low
world,Low
xin,Low
zone,Low
accountant,Medium
accountants,Medium
adult,Medium
adult,Medium
bet,Medium
cam,Medium
casino,Medium
cm,Medium
cn,Medium
cricket,Medium
ge,Medium
il,Medium
link,Medium
lk,Medium
me,Medium
ng,Medium
party,Medium
pk,Medium
poker,Medium
ru,Medium
sa,Medium
science,Medium
sexy,Medium
site,Medium
stream,Medium
th,Medium
tn,Medium
top,Medium
trade,Medium
tube,Medium
webcam,Medium
webcam,Medium
wtf,Medium
